Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
2018-9-5,Trianon-Masp,-23.5634,-46.6544,44401,43,34,47,5,22,16,30,33,NORMAL
2018-11-3,Trianon-Masp,-23.5634,-46.6544,45473,57,14,65,43,25,38,23,43,NORMAL
2019-5-18,Trianon-Masp,-23.5634,-46.6544,42589,71,44,17,22,9,27,6,18,REABASTECER
2019-1-8,Trianon-Masp,-23.5634,-46.6544,44639,34,29,3,22,21,19,41,33,REABASTECER
2019-11-14,Tatuapé,-23.5402,-46.5765,69435,16,8,32,21,4,43,36,43,REABASTECER
2019-3-20,Trianon-Masp,-23.5634,-46.6544,45736,12,40,33,7,35,12,21,10,NORMAL
2019-8-11,Trianon-Masp,-23.5634,-46.6544,44604,29,28,34,35,20,24,12,22,NORMAL
2019-5-19,Trianon-Masp,-23.5634,-46.6544,44632,64,35,13,21,7,23,43,12,NORMAL
2018-5-25,República,-23.5436,-46.6434,109571,67,17,3,17,22,40,4,20,REABASTECER
2018-5-28,República,-23.5436,-46.6434,107857,35,10,47,1,13,33,34,9,NORMAL
2018-2-23,Consolação,-23.5581,-46.6606,113441,2,65,27,25,7,12,32,19,NORMAL
2018-6-21,República,-23.5436,-46.6434,108259,67,55,32,25,9,10,38,9,NORMAL
2018-10-7,República,-23.5436,-46.6434,110002,55,20,23,17,19,7,43,5,REABASTECER
2018-7-27,Consolação,-23.5581,-46.6606,112149,28,1,53,42,43,16,22,15,NORMAL
2019-6-26,Consolação,-23.5581,-46.6606,112069,21,36,20,16,23,43,10,41,NORMAL
2019-9-27,Consolação,-23.5581,-46.6606,112231,3,17,61,27,21,7,5,17,REABASTECER
2019-4-17,Consolação,-23.5581,-46.6606,114113,31,55,65,8,8,11,33,17,NORMAL
2019-4-29,Consolação,-23.5581,-46.6606,115250,86,47,41,17,3,19,34,5,NORMAL
2018-3-2,Higienópolis-Mackenzie,-23.5488,-46.6519,89616,77,25,36,31,28,12,11,7,NORMAL
2018-3-14,Higienópolis-Mackenzie,-23.5488,-46.6519,92675,49,7,15,38,15,13,5,43,REABASTECER
2019-7-6,Consolação,-23.5581,-46.6606,111761,3,57,18,25,27,10,6,43,REABASTECER
2018-8-13,Higienópolis-Mackenzie,-23.5488,-46.6519,92449,19,48,52,14,9,39,6,38,REABASTECER
2018-8-18,Higienópolis-Mackenzie,-23.5488,-46.6519,91006,58,27,11,3,26,20,30,23,NORMAL
2018-6-17,Tamanduateí,-23.5929,-46.5897,52547,86,36,46,33,14,22,33,29,NORMAL
2019-1-12,Higienópolis-Mackenzie,-23.5488,-46.6519,90541,54,28,61,29,35,21,4,12,NORMAL
2018-9-17,Tamanduateí,-23.5929,-46.5897,50495,21,14,51,12,21,29,32,15,NORMAL
2018-11-6,Tamanduateí,-23.5929,-46.5897,51623,50,55,33,28,43,42,1,41,REABASTECER
2018-6-16,Tamanduateí,-23.5929,-46.5897,51342,8,44,52,38,16,23,39,32,NORMAL
2018-7-3,Tamanduateí,-23.5929,-46.5897,52750,86,55,4,29,43,43,6,38,NORMAL
2019-7-8,Higienópolis-Mackenzie,-23.5488,-46.6519,90023,33,24,28,43,26,18,27,29,NORMAL
2019-3-27,Tamanduateí,-23.5929,-46.5897,49848,43,43,4,16,10,29,40,41,REABASTECER
2019-4-12,Tamanduateí,-23.5929,-46.5897,50735,57,37,34,13,38,27,24,20,NORMAL
2019-9-22,Higienópolis-Mackenzie,-23.5488,-46.6519,92518,75,65,18,25,43,28,24,6,REABASTECER
2019-6-12,Tamanduateí,-23.5929,-46.5897,50812,78,65,65,19,31,21,39,19,NORMAL
2019-1-6,Tamanduateí,-23.5929,-46.5897,50197,79,7,39,13,18,9,14,19,REABASTECER
2019-5-6,Tamanduateí,-23.5929,-46.5897,52677,74,28,65,8,13,32,11,23,NORMAL
2019-11-13,Tamanduateí,-23.5929,-46.5897,49926,65,33,49,9,23,4,7,40,NORMAL
2018-7-19,Faria Lima,-23.5675,-46.6929,54350,86,48,45,38,39,6,20,24,REABASTECER
2018-9-26,Faria Lima,-23.5675,-46.6929,52515,42,56,47,16,21,9,40,8,NORMAL
2019-2-13,Sé,-23.55,-46.6333,192526,34,65,8,20,33,23,40,16,REABASTECER
2018-8-19,Sé,-23.55,-46.6333,193641,32,30,47,24,9,24,28,40,NORMAL
2018-4-27,Pinheiros,-23.5664,-46703,77566,67,21,46,41,3,14,36,29,REABASTECER
2018-2-29,Brás,-23.5451,-46.6162,70771,12,65,56,43,32,26,20,13,NORMAL
2019-8-28,Sé,-23.55,-46.6333,193566,20,17,65,15,26,21,10,23,NORMAL
2018-3-21,Brás,-23.5451,-46.6162,74493,55,65,41,5,29,9,23,11,NORMAL
2018-8-22,Pinheiros,-23.5664,-46703,77724,66,33,6,16,23,10,20,32,NORMAL
2019-9-11,Ana Rosa,-23.5813,-46.6383,63722,86,19,28,15,29,27,20,34,NORMAL
2019-12-25,Ana Rosa,-23.5813,-46.6383,66541,63,29,51,32,28,43,15,32,NORMAL
2019-2-27,Eucaliptos,-23.61,-46.6686,24442,9,43,38,43,43,37,35,13,REABASTECER
2019-4-9,Eucaliptos,-23.61,-46.6686,22301,31,30,12,39,7,20,34,21,NORMAL
2019-6-30,Eucaliptos,-23.61,-46.6686,22846,17,19,24,31,24,16,43,43,NORMAL
2019-9-5,Ana Rosa,-23.5813,-46.6383,66691,67,57,8,30,8,43,39,19,REABASTECER
2019-9-29,Ana Rosa,-23.5813,-46.6383,63725,10,38,26,43,41,5,30,43,NORMAL
2019-2-16,São Joaquim,-23.5618,-46.6389,33794,43,16,59,16,31,16,43,8,NORMAL
2019-8-20,São Joaquim,-23.5618,-46.6389,35815,70,21,36,13,29,23,10,29,NORMAL
2018-10-20,São Joaquim,-23.5618,-46.6389,32592,61,27,65,32,43,36,21,31,NORMAL
2019-12-16,São Joaquim,-23.5618,-46.6389,35953,86,17,61,34,35,13,33,5,REABASTECER
2018-11-20,Moema,-23.5489,-46.6388,18141,40,4,27,43,43,22,40,17,NORMAL
2019-3-7,São Joaquim,-23.5618,-46.6389,34316,86,13,35,43,33,37,32,16,NORMAL
2019-8-7,São Joaquim,-23.5618,-46.6389,33201,16,36,2,18,35,18,17,37,REABASTECER
2018-9-24,São Judas,-23.6255,-46.6411,15649,33,36,22,43,31,7,26,32,NORMAL
2018-7-10,Paraíso,-23.57677,-46.63933,71099,38,19,57,37,6,36,30,43,NORMAL
2018-9-28,Paraíso,-23.57677,-46.63933,73381,46,8,55,37,28,15,10,39,NORMAL
2018-11-11,Paraíso,-23.57677,-46.63933,72704,40,16,27,6,19,29,15,29,NORMAL
2018-10-15,São Judas,-23.6255,-46.6411,14137,86,30,12,43,41,17,23,30,NORMAL
2018-12-4,São Judas,-23.6255,-46.6411,13872,56,57,65,17,3,10,43,43,REABASTECER
2019-1-27,São Judas,-23.6255,-46.6411,17498,76,65,31,18,5,17,32,43,NORMAL
2018-4-19,Vila Mariana,-23.5895,-46.6346,24492,86,49,34,14,17,43,22,35,NORMAL
2018-5-29,Vila Mariana,-23.5895,-46.6346,23431,49,56,24,29,38,37,29,31,NORMAL
2018-7-2,Vila Mariana,-23.5895,-46.6346,21626,86,51,65,3,24,18,26,24,NORMAL
2018-7-23,Vila Mariana,-23.5895,-46.6346,24124,56,57,48,11,23,38,27,24,NORMAL
2019-7-22,São Judas,-23.6255,-46.6411,17227,78,47,40,43,30,16,25,21,NORMAL
2018-8-3,Vila Mariana,-23.5895,-46.6346,21404,49,65,51,20,19,39,26,34,NORMAL
2018-6-29,Brigadeiro,-23.5683,-46.6482,49579,58,49,27,32,25,20,10,32,NORMAL
2018-8-3,Brigadeiro,-23.5683,-46.6482,46739,86,31,61,14,13,43,43,10,NORMAL
2019-3-2,Vila Mariana,-23.5895,-46.6346,22849,61,43,65,10,40,20,38,30,NORMAL
2018-4-20,Vila Mariana,-23.5895,-46.6346,22921,73,39,25,8,15,43,16,32,NORMAL
2019-7-17,Vila Mariana,-23.5895,-46.6346,23457,51,57,31,14,26,34,19,25,NORMAL
2019-9-24,Vila Mariana,-23.5895,-46.6346,21950,2,51,36,34,37,35,33,31,REABASTECER
2018-11-25,Vila Mariana,-23.5895,-46.6346,24223,46,57,6,9,7,14,2,21,NORMAL
2018-2-9,Brooklin,-23.6263,-46.6878,29901,67,26,48,37,23,17,43,12,NORMAL
2019-5-2,Vila Mariana,-23.5895,-46.6346,24045,79,18,35,16,21,17,17,7,NORMAL
2018-5-5,Brooklin,-23.6263,-46.6878,26225,36,26,10,37,27,20,27,21,NORMAL
2018-2-8,Trianon-Masp,-23.5634,-46.6544,43229,73,29,5,14,32,15,6,22,NORMAL
2018-3-6,Trianon-Masp,-23.5634,-46.6544,42682,67,50,9,25,3,11,32,40,NORMAL
2019-7-23,Vila Mariana,-23.5895,-46.6346,21584,86,23,49,43,43,20,43,1,NORMAL
2018-9-14,Trianon-Masp,-23.5634,-46.6544,45501,33,44,55,21,29,19,39,36,NORMAL
2018-12-24,Brooklin,-23.6263,-46.6878,27441,53,31,48,24,15,37,35,38,NORMAL
2018-5-8,Brooklin,-23.6263,-46.6878,28973,86,7,61,30,17,8,13,10,REABASTECER
2018-6-4,Brooklin,-23.6263,-46.6878,27829,86,42,4,26,30,25,35,41,NORMAL
2018-12-19,Brooklin,-23.6263,-46.6878,27636,18,59,10,40,29,10,18,13,NORMAL
2019-1-12,Brooklin,-23.6263,-46.6878,29900,38,65,43,6,23,28,4,5,REABASTECER
2019-11-4,Trianon-Masp,-23.5634,-46.6544,41980,11,61,43,43,37,41,18,6,REABASTECER
2018-2-25,Campo Belo,-23.6188,-46.6823,23823,66,36,51,6,11,15,32,8,NORMAL
2018-11-27,Consolação,-23.5581,-46.6606,113070,68,24,40,21,9,13,20,23,NORMAL
2018-4-7,Tamanduateí,-23.5929,-46.5897,50137,49,10,61,37,43,12,26,43,NORMAL
2018-12-23,Consolação,-23.5581,-46.6606,114848,77,4,57,20,17,43,43,6,NORMAL
2018-12-3,República,-23.5436,-46.6434,107167,21,20,55,18,5,42,22,43,NORMAL
2018-6-30,Tamanduateí,-23.5929,-46.5897,49600,27,9,25,39,10,17,22,10,NORMAL
2019-6-21,Consolação,-23.5581,-46.6606,112838,75,4,54,31,43,16,31,17,NORMAL
2018-7-2,Tamanduateí,-23.5929,-46.5897,50977,11,58,11,29,1,6,12,43,REABASTECER
2018-6-2,Higienópolis-Mackenzie,-23.5488,-46.6519,91578,44,37,65,25,31,43,16,21,NORMAL
2018-12-6,Higienópolis-Mackenzie,-23.5488,-46.6519,89664,47,0,36,21,18,11,23,37,REABASTECER
2019-3-29,Tamanduateí,-23.5929,-46.5897,50707,21,33,61,9,5,19,32,34,NORMAL
2019-4-12,Higienópolis-Mackenzie,-23.5488,-46.6519,92071,18,25,41,5,5,40,29,43,REABASTECER
2019-8-30,Tamanduateí,-23.5929,-46.5897,50487,22,59,43,27,28,14,30,43,NORMAL
2019-1-12,Sé,-23.55,-46.6333,195054,59,46,25,7,26,40,30,15,NORMAL
2019-12-9,Tamanduateí,-23.5929,-46.5897,50935,78,56,65,24,43,10,33,24,NORMAL
2019-12-29,Tamanduateí,-23.5929,-46.5897,51010,51,6,6,40,37,37,29,27,REABASTECER
2018-9-26,Sé,-23.55,-46.6333,193579,17,65,36,25,37,43,8,40,NORMAL
2018-5-18,Brás,-23.5451,-46.6162,72064,38,34,37,29,5,41,36,4,NORMAL
2019-2-22,Sé,-23.55,-46.6333,191749,27,17,12,7,35,39,8,23,NORMAL
2018-9-26,Brás,-23.5451,-46.6162,72000,73,59,52,37,21,42,43,18,NORMAL
2019-10-4,Sé,-23.55,-46.6333,194212,73,29,14,9,27,37,38,43,NORMAL
2019-10-16,Sé,-23.55,-46.6333,193221,42,15,57,24,20,3,37,40,REABASTECER
2019-2-11,Brás,-23.5451,-46.6162,70989,24,2,61,27,16,32,33,14,NORMAL
2018-1-21,Brás,-23.5451,-46.6162,74283,52,25,55,24,2,22,43,6,NORMAL
2019-9-28,Brás,-23.5451,-46.6162,71919,16,53,52,43,31,12,32,6,REABASTECER
2018-5-4,Pinheiros,-23.5664,-46703,76778,75,37,65,25,21,33,9,43,NORMAL
2018-9-19,Brás,-23.5451,-46.6162,73174,59,29,33,20,10,23,30,43,NORMAL
2018-9-23,Brás,-23.5451,-46.6162,70711,16,11,6,4,33,7,16,30,NORMAL
2018-9-19,Pinheiros,-23.5664,-46703,79965,54,59,37,12,43,6,5,9,NORMAL
2018-11-17,Pinheiros,-23.5664,-46703,76336,86,16,23,43,36,34,10,43,NORMAL
2018-5-9,Barra Funda,-23.5542,-46.6707,149199,22,19,29,43,43,20,37,41,NORMAL
2019-4-9,Brás,-23.5451,-46.6162,72289,58,53,43,28,38,26,22,24,NORMAL
2019-3-5,Pinheiros,-23.5664,-46703,79870,65,30,65,25,27,32,22,23,NORMAL
2019-1-4,Barra Funda,-23.5542,-46.6707,148308,68,61,65,17,34,38,41,37,NORMAL
2019-10-21,Brás,-23.5451,-46.6162,71261,45,50,21,29,23,23,16,43,NORMAL
2019-11-17,Pinheiros,-23.5664,-46703,79722,76,24,1,35,23,26,23,38,REABASTECER
2018-5-3,Barra Funda,-23.5542,-46.6707,150292,74,60,4,18,22,38,18,22,NORMAL
2018-6-11,Barra Funda,-23.5542,-46.6707,146876,48,25,61,14,39,32,3,38,REABASTECER
2019-3-11,Barra Funda,-23.5542,-46.6707,148143,50,65,60,26,11,4,9,15,REABASTECER
2018-10-12,Tatuapé,-23.5402,-46.5765,69100,45,42,33,40,5,28,11,29,NORMAL
2019-1-8,Tatuapé,-23.5402,-46.5765,70873,76,51,28,17,38,23,6,3,NORMAL
2019-1-21,Tatuapé,-23.5402,-46.5765,70225,35,33,65,20,31,24,7,43,NORMAL
2019-11-18,Barra Funda,-23.5542,-46.6707,150607,48,8,46,8,36,20,22,5,REABASTECER
2019-9-26,Butantã,-23.5844,-46.7252,67733,8,37,45,7,39,25,10,32,REABASTECER
2019-12-3,Butantã,-23.5844,-46.7252,67118,66,46,41,28,33,24,34,7,NORMAL
2019-5-9,Tatuapé,-23.5402,-46.5765,67813,65,50,58,27,18,25,36,9,NORMAL
2018-1-11,Fradique Coutinho,-23.5661,-46.6841,33732,86,63,57,19,43,6,43,9,NORMAL
2019-5-12,Brooklin,-23.6263,-46.6878,27843,64,56,46,36,16,40,24,40,NORMAL
2019-7-3,Fradique Coutinho,-23.5661,-46.6841,33390,23,2,11,43,16,35,15,37,REABASTECER
2019-10-18,Fradique Coutinho,-23.5661,-46.6841,35829,46,11,31,5,37,26,41,35,REABASTECER
2019-5-3,Luz,-23.5365,-46.6332,127059,86,7,21,32,12,37,40,27,NORMAL
2018-3-16,Campo Belo,-23.6188,-46.6823,24129,28,20,20,34,12,42,29,11,NORMAL
2019-5-28,Luz,-23.5365,-46.6332,124019,22,65,55,36,43,43,29,11,NORMAL
2018-5-17,Luz,-23.5365,-46.6332,127377,13,11,39,16,6,15,10,9,REABASTECER
2019-8-5,Luz,-23.5365,-46.6332,125374,64,56,5,4,27,37,3,27,REABASTECER
2019-9-16,Luz,-23.5365,-46.6332,127125,21,55,29,31,28,39,23,24,NORMAL
2019-12-12,Luz,-23.5365,-46.6332,124105,49,33,43,18,14,16,31,8,NORMAL
2019-2-17,Campo Belo,-23.6188,-46.6823,25016,23,21,45,43,43,25,30,25,NORMAL
2018-4-20,Ana Rosa,-23.5813,-46.6383,67626,63,34,45,20,43,35,31,43,NORMAL
2019-6-16,Luz,-23.5365,-46.6332,126147,20,15,65,31,7,19,39,24,NORMAL
2019-6-30,Luz,-23.5365,-46.6332,124180,58,65,39,38,37,12,24,5,NORMAL
2018-7-28,Ana Rosa,-23.5813,-46.6383,67678,54,44,10,41,33,39,22,43,NORMAL
2019-9-11,Luz,-23.5365,-46.6332,125297,73,14,61,10,8,8,39,6,REABASTECER
2019-10-15,Luz,-23.5365,-46.6332,125105,66,65,31,20,32,28,43,28,NORMAL
2019-12-3,Luz,-23.5365,-46.6332,126089,44,7,35,40,6,43,26,3,REABASTECER
2019-12-6,Luz,-23.5365,-46.6332,126659,14,55,16,26,38,34,14,34,NORMAL
2019-1-24,Ana Rosa,-23.5813,-46.6383,65161,4,61,37,21,25,15,26,26,REABASTECER
2018-7-8,Eucaliptos,-23.61,-46.6686,25236,56,34,50,12,10,24,20,33,NORMAL
2018-7-18,Eucaliptos,-23.61,-46.6686,24400,27,52,38,24,13,36,22,34,NORMAL
2018-9-8,Eucaliptos,-23.61,-46.6686,23876,55,7,10,43,17,33,43,36,REABASTECER
2018-12-18,Ana Rosa,-23.5813,-46.6383,63989,27,24,17,42,43,21,38,43,NORMAL
2018-12-23,Ana Rosa,-23.5813,-46.6383,65186,76,59,50,30,19,43,14,21,NORMAL
2018-3-3,São Joaquim,-23.5618,-46.6389,35233,6,4,14,40,7,14,5,23,REABASTECER
2019-5-28,Ana Rosa,-23.5813,-46.6383,64962,38,56,39,30,13,38,36,31,NORMAL
2018-8-23,São Joaquim,-23.5618,-46.6389,36409,50,44,60,28,31,31,6,43,REABASTECER
2019-8-15,Eucaliptos,-23.61,-46.6686,23245,25,65,38,19,32,41,39,43,NORMAL
2018-1-1,São Joaquim,-23.5618,-46.6389,33932,86,65,65,43,43,43,43,43,NORMAL
2019-4-22,São Joaquim,-23.5618,-46.6389,34553,74,10,33,41,21,5,17,13,NORMAL
2019-5-28,São Joaquim,-23.5618,-46.6389,35734,1,58,61,14,16,26,43,38,REABASTECER
2018-6-17,São Joaquim,-23.5618,-46.6389,36087,8,65,44,8,22,15,34,12,REABASTECER
2019-9-20,São Joaquim,-23.5618,-46.6389,34634,50,33,27,43,21,27,11,31,NORMAL
2018-10-9,São Joaquim,-23.5618,-46.6389,32934,4,27,13,16,43,27,27,33,NORMAL
2018-12-2,São Joaquim,-23.5618,-46.6389,35723,78,41,40,18,33,40,21,34,NORMAL
2018-1-26,São Judas,-23.6255,-46.6411,17453,28,49,23,20,29,5,21,20,NORMAL
2019-2-11,São Joaquim,-23.5618,-46.6389,33696,7,46,29,30,8,37,16,29,REABASTECER
2019-12-30,Hospital São Paulo,-23.5984,-46.6455,26759,9,42,56,22,8,10,35,26,NORMAL
2018-2-29,Paraíso,-23.57677,-46.63933,70963,33,48,50,17,20,21,24,39,NORMAL
2018-7-28,São Judas,-23.6255,-46.6411,16592,74,50,20,37,31,22,27,10,NORMAL
2018-5-9,Paraíso,-23.57677,-46.63933,73420,39,14,19,37,21,15,5,38,REABASTECER
2018-8-11,Paraíso,-23.57677,-46.63933,71892,86,34,43,23,4,23,26,13,REABASTECER
2018-1-14,São Judas,-23.6255,-46.6411,16674,69,62,42,8,33,41,31,29,NORMAL
2018-12-17,Paraíso,-23.57677,-46.63933,72995,42,53,25,32,10,34,38,15,NORMAL
2018-6-16,São Judas,-23.6255,-46.6411,16482,62,42,51,43,27,25,16,40,NORMAL
2018-8-11,São Judas,-23.6255,-46.6411,15645,17,31,56,43,22,22,19,39,NORMAL
2019-4-14,Paraíso,-23.57677,-46.63933,70097,45,30,27,43,43,43,9,30,NORMAL
2018-1-5,Vila Mariana,-23.5895,-46.6346,24312,46,44,38,36,24,30,29,27,NORMAL
2019-11-20,Paraíso,-23.57677,-46.63933,70732,76,20,19,20,17,18,11,29,NORMAL
2019-4-6,São Judas,-23.6255,-46.6411,16396,6,25,1,32,10,31,6,32,NORMAL
2019-5-9,São Judas,-23.6255,-46.6411,17249,43,24,55,13,37,34,5,33,REABASTECER
2018-5-28,Vila Mariana,-23.5895,-46.6346,22515,60,65,33,29,41,43,33,37,NORMAL
2018-6-7,Vila Mariana,-23.5895,-46.6346,21912,63,10,44,7,5,15,39,43,REABASTECER
2018-2-16,Brigadeiro,-23.5683,-46.6482,46717,75,65,13,5,43,30,27,43,REABASTECER
2018-8-18,Vila Mariana,-23.5895,-46.6346,24938,70,47,65,16,11,38,10,21,NORMAL
2018-5-26,Brigadeiro,-23.5683,-46.6482,49746,36,57,5,8,33,22,23,25,REABASTECER
2018-11-12,Vila Mariana,-23.5895,-46.6346,23056,77,8,30,6,13,9,16,21,REABASTECER
2019-1-30,Vila Mariana,-23.5895,-46.6346,22596,36,42,27,7,9,9,43,27,NORMAL
2019-6-13,Vila Mariana,-23.5895,-46.6346,23476,27,22,7,8,26,35,21,29,NORMAL
2019-10-7,Vila Mariana,-23.5895,-46.6346,21412,46,37,11,43,29,37,31,15,NORMAL
2019-1-1,Vila Mariana,-23.5895,-46.6346,21794,46,21,20,13,34,23,27,18,NORMAL
2019-2-1,Vila Mariana,-23.5895,-46.6346,23020,24,40,21,6,3,4,41,24,REABASTECER
2018-7-4,República,-23.5436,-46.6434,109961,18,34,8,40,43,8,20,39,NORMAL
2018-9-20,República,-23.5436,-46.6434,107886,49,61,10,27,3,16,23,23,REABASTECER
2018-5-3,Luz,-23.5365,-46.6332,124249,65,36,1,20,37,43,13,28,REABASTECER
2018-12-6,Higienópolis-Mackenzie,-23.5488,-46.6519,89664,47,0,36,21,18,11,23,37,REABASTECER
2018-6-24,Luz,-23.5365,-46.6332,124245,86,14,50,31,14,34,5,27,NORMAL
2019-4-13,Luz,-23.5365,-46.6332,125065,30,58,14,13,43,11,33,25,NORMAL
2019-11-16,Luz,-23.5365,-46.6332,126603,34,47,27,5,32,20,13,37,NORMAL
2019-11-25,Luz,-23.5365,-46.6332,127003,42,63,27,24,39,31,17,36,NORMAL
2018-8-30,Higienópolis-Mackenzie,-23.5488,-46.6519,89572,33,21,65,11,24,25,28,13,NORMAL
2018-3-22,Ana Rosa,-23.5813,-46.6383,67254,86,9,27,24,39,34,11,23,REABASTECER
2018-10-18,Higienópolis-Mackenzie,-23.5488,-46.6519,91877,61,54,44,32,8,23,3,43,REABASTECER
2018-10-26,Faria Lima,-23.5675,-46.6929,51934,6,65,28,3,32,14,3,19,REABASTECER
2018-6-5,Ana Rosa,-23.5813,-46.6383,66209,43,20,52,43,31,28,15,43,NORMAL
2018-11-7,Faria Lima,-23.5675,-46.6929,51021,79,7,15,14,31,20,6,23,REABASTECER
2019-7-29,Higienópolis-Mackenzie,-23.5488,-46.6519,90296,86,36,6,7,37,8,24,4,NORMAL
2019-3-15,Ana Rosa,-23.5813,-46.6383,67215,41,22,41,36,37,10,40,43,NORMAL
2019-11-10,Higienópolis-Mackenzie,-23.5488,-46.6519,91809,51,37,12,15,20,19,3,28,REABASTECER
2019-11-23,Higienópolis-Mackenzie,-23.5488,-46.6519,89604,11,29,51,16,13,11,38,21,REABASTECER
2018-1-8,Faria Lima,-23.5675,-46.6929,53597,19,26,13,21,12,24,15,15,NORMAL
2018-5-30,Pinheiros,-23.5664,-46703,78234,86,9,24,37,35,38,39,21,REABASTECER
2018-7-11,Pinheiros,-23.5664,-46703,76017,41,13,19,9,15,9,10,33,NORMAL
2018-3-17,São Joaquim,-23.5618,-46.6389,34194,44,40,44,33,38,7,36,9,NORMAL
2018-9-10,Pinheiros,-23.5664,-46703,79832,59,49,24,40,34,40,37,8,NORMAL
2018-7-24,São Joaquim,-23.5618,-46.6389,34615,10,15,65,34,9,10,20,10,REABASTECER
2018-7-30,São Joaquim,-23.5618,-46.6389,33043,32,43,27,17,33,32,41,33,NORMAL
2018-9-24,São Joaquim,-23.5618,-46.6389,32808,73,54,41,9,30,6,2,9,REABASTECER
2019-4-14,Faria Lima,-23.5675,-46.6929,54843,39,48,25,35,38,29,28,15,NORMAL
2019-3-12,São Joaquim,-23.5618,-46.6389,35032,40,51,6,36,10,28,11,40,REABASTECER
2019-3-16,São Joaquim,-23.5618,-46.6389,32759,86,27,41,28,41,18,37,23,NORMAL
2019-9-18,Faria Lima,-23.5675,-46.6929,53267,27,18,60,42,15,39,38,26,NORMAL
2019-6-16,São Joaquim,-23.5618,-46.6389,32649,86,11,55,39,20,42,16,12,NORMAL
2019-11-29,Faria Lima,-23.5675,-46.6929,52792,74,11,39,23,27,29,3,41,NORMAL
2019-10-16,Pinheiros,-23.5664,-46703,76992,3,32,22,38,33,35,8,18,REABASTECER
2018-2-24,São Judas,-23.6255,-46.6411,14719,86,30,45,31,43,10,34,17,NORMAL
2018-7-25,Pinheiros,-23.5664,-46703,78780,79,11,65,9,4,14,43,19,REABASTECER
2019-8-4,República,-23.5436,-46.6434,110038,73,4,52,7,6,24,30,18,NORMAL
2018-1-5,Ana Rosa,-23.5813,-46.6383,66581,45,42,30,36,23,32,20,24,NORMAL
2018-3-13,Higienópolis-Mackenzie,-23.5488,-46.6519,91443,62,13,23,38,19,13,10,6,NORMAL
2018-5-11,Higienópolis-Mackenzie,-23.5488,-46.6519,91453,79,43,28,43,35,37,11,24,NORMAL
2018-6-15,Higienópolis-Mackenzie,-23.5488,-46.6519,91465,86,21,37,22,17,5,12,20,NORMAL
2018-9-15,Higienópolis-Mackenzie,-23.5488,-46.6519,92614,53,54,27,14,11,14,4,41,REABASTECER
2018-10-7,Ana Rosa,-23.5813,-46.6383,67384,13,15,57,18,9,32,5,19,NORMAL
2019-1-10,Higienópolis-Mackenzie,-23.5488,-46.6519,93414,72,40,2,35,43,29,14,23,NORMAL
2018-12-25,Higienópolis-Mackenzie,-23.5488,-46.6519,90215,34,8,44,41,24,35,28,43,NORMAL
2019-4-22,Higienópolis-Mackenzie,-23.5488,-46.6519,90669,86,26,48,14,9,16,31,38,NORMAL
2019-6-12,Ana Rosa,-23.5813,-46.6383,65163,78,48,12,35,43,27,26,21,NORMAL
2019-6-28,Higienópolis-Mackenzie,-23.5488,-46.6519,89969,40,17,44,36,29,12,28,22,NORMAL
2019-7-1,Ana Rosa,-23.5813,-46.6383,67503,70,10,65,9,5,23,36,37,REABASTECER
2019-7-12,Higienópolis-Mackenzie,-23.5488,-46.6519,93150,86,65,65,32,12,11,11,15,NORMAL
2019-8-3,Higienópolis-Mackenzie,-23.5488,-46.6519,90398,45,13,45,41,20,43,6,31,NORMAL
2019-10-14,Ana Rosa,-23.5813,-46.6383,65642,34,12,45,41,28,33,22,24,NORMAL
2019-11-4,Higienópolis-Mackenzie,-23.5488,-46.6519,90231,26,10,47,38,6,38,31,10,NORMAL
2018-1-3,Faria Lima,-23.5675,-46.6929,52514,65,55,49,38,33,35,37,37,NORMAL
2019-12-15,Higienópolis-Mackenzie,-23.5488,-46.6519,90249,59,31,30,30,11,33,38,9,NORMAL
2018-2-9,Faria Lima,-23.5675,-46.6929,52671,76,45,65,24,4,19,14,26,REABASTECER
2018-4-19,São Joaquim,-23.5618,-46.6389,33803,79,60,34,27,41,24,38,7,NORMAL
2018-4-16,Faria Lima,-23.5675,-46.6929,54163,86,62,47,32,10,37,11,17,NORMAL
2018-7-7,São Joaquim,-23.5618,-46.6389,34379,79,57,45,37,32,22,43,21,NORMAL
2019-4-14,Faria Lima,-23.5675,-46.6929,54843,39,48,25,35,38,29,28,15,NORMAL
2019-6-24,São Joaquim,-23.5618,-46.6389,33180,11,38,55,12,31,23,26,28,NORMAL
2018-4-10,Pinheiros,-23.5664,-46703,76774,57,42,33,23,37,19,20,6,REABASTECER
2018-7-3,Pinheiros,-23.5664,-46703,76375,35,65,65,42,38,33,43,22,NORMAL
2018-8-11,Pinheiros,-23.5664,-46703,77990,76,40,22,13,22,43,22,40,NORMAL
2018-9-5,Pinheiros,-23.5664,-46703,78877,24,4,59,16,7,18,16,28,REABASTECER
2019-4-28,São Judas,-23.6255,-46.6411,17369,71,32,55,9,43,23,43,34,NORMAL
2019-11-11,São Judas,-23.6255,-46.6411,13923,35,40,56,17,21,28,16,14,NORMAL
2019-12-19,Pinheiros,-23.5664,-46703,76619,20,36,32,35,16,7,11,23,NORMAL
