Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,Status
2018-10-8,Consolação,-23.5581,-46.6606,112507,37,37,26,37,26,16,41,32,NORMAL
2018-10-9,Consolação,-23.5581,-46.6606,113416,29,27,20,35,23,16,39,30,NORMAL
2018-10-10,Consolação,-23.5581,-46.6606,113556,22,25,14,34,19,13,34,28,NORMAL
2018-10-11,Consolação,-23.5581,-46.6606,111773,11,23,9,28,14,11,32,25,NORMAL
2018-10-12,Consolação,-23.5581,-46.6606,112469,86,20,65,24,8,11,30,19,NORMAL
2018-10-13,Consolação,-23.5581,-46.6606,112580,77,16,58,22,6,7,25,15,REABASTECER
2018-10-14,Consolação,-23.5581,-46.6606,114284,67,7,53,18,43,5,21,9,REABASTECER
2018-10-15,Consolação,-23.5581,-46.6606,111898,56,65,49,18,41,43,18,5,REABASTECER
2018-10-16,Consolação,-23.5581,-46.6606,112897,44,60,42,13,39,43,14,43,NORMAL
2018-10-17,Consolação,-23.5581,-46.6606,113870,33,55,34,12,37,37,11,40,NORMAL
2018-10-18,Consolação,-23.5581,-46.6606,111876,21,48,30,11,35,37,5,34,REABASTECER
2018-10-19,Consolação,-23.5581,-46.6606,115236,12,44,23,5,29,37,43,32,NORMAL
2018-10-20,Consolação,-23.5581,-46.6606,113807,86,40,14,43,26,33,37,30,NORMAL
2018-10-21,Consolação,-23.5581,-46.6606,113418,73,30,4,42,23,28,35,25,REABASTECER
2018-10-22,Consolação,-23.5581,-46.6606,113466,65,24,65,41,18,27,33,23,NORMAL
2018-10-23,Consolação,-23.5581,-46.6606,114249,56,20,61,40,14,21,29,20,NORMAL
2018-10-24,Consolação,-23.5581,-46.6606,112050,45,16,52,40,8,18,23,17,NORMAL
2018-10-25,Consolação,-23.5581,-46.6606,112460,34,13,43,37,3,12,18,12,REABASTECER
2018-10-26,Consolação,-23.5581,-46.6606,114026,23,6,38,34,43,9,12,7,NORMAL
2018-10-27,Consolação,-23.5581,-46.6606,113228,10,65,34,31,41,9,10,3,NORMAL
2018-10-28,Consolação,-23.5581,-46.6606,113079,86,62,29,26,37,6,4,43,REABASTECER
2018-10-29,Consolação,-23.5581,-46.6606,113361,73,57,22,22,33,43,43,37,NORMAL
2018-10-30,Consolação,-23.5581,-46.6606,113980,64,50,17,22,28,37,40,33,NORMAL
2018-11-1,Consolação,-23.5581,-46.6606,113009,55,48,11,17,25,37,36,30,NORMAL
2018-11-2,Consolação,-23.5581,-46.6606,112900,46,46,4,14,20,37,34,28,NORMAL
2018-11-3,Consolação,-23.5581,-46.6606,112959,33,44,65,14,17,34,29,26,NORMAL
2018-11-4,Consolação,-23.5581,-46.6606,114843,26,41,60,14,14,33,25,21,NORMAL
2018-11-5,Consolação,-23.5581,-46.6606,114897,18,31,55,9,8,27,21,17,NORMAL
2018-11-6,Consolação,-23.5581,-46.6606,113586,8,21,46,5,5,26,19,15,NORMAL
2018-11-7,Consolação,-23.5581,-46.6606,112783,86,15,42,43,43,26,16,9,NORMAL
2018-11-8,Consolação,-23.5581,-46.6606,112288,74,13,37,40,40,20,11,7,NORMAL
2018-11-9,Consolação,-23.5581,-46.6606,115115,67,6,28,38,37,19,5,3,REABASTECER
2018-11-10,Consolação,-23.5581,-46.6606,111634,59,65,21,38,31,16,43,43,NORMAL
2018-11-11,Consolação,-23.5581,-46.6606,114746,48,59,12,36,26,16,41,38,NORMAL
2018-11-12,Consolação,-23.5581,-46.6606,113962,37,50,4,31,21,13,36,32,REABASTECER
2018-11-13,Consolação,-23.5581,-46.6606,112933,28,45,65,25,19,13,32,26,NORMAL
2018-11-14,Consolação,-23.5581,-46.6606,111951,16,43,60,19,15,13,28,23,NORMAL
2018-11-15,Consolação,-23.5581,-46.6606,114119,7,34,55,16,12,13,26,21,REABASTECER
2018-11-16,Consolação,-23.5581,-46.6606,115249,86,24,49,13,9,7,20,18,NORMAL
2018-11-17,Consolação,-23.5581,-46.6606,111927,78,21,42,8,5,2,15,15,REABASTECER
2018-11-18,Consolação,-23.5581,-46.6606,115249,69,11,34,5,43,43,10,9,NORMAL
2018-11-19,Consolação,-23.5581,-46.6606,112655,58,8,25,43,41,43,6,4,REABASTECER
2018-11-20,Consolação,-23.5581,-46.6606,111715,50,65,16,41,39,42,43,43,NORMAL
2018-11-21,Consolação,-23.5581,-46.6606,115072,37,63,10,36,35,36,41,40,NORMAL
2018-11-22,Consolação,-23.5581,-46.6606,112609,28,55,5,32,31,35,37,38,REABASTECER
2018-11-23,Consolação,-23.5581,-46.6606,115289,15,46,65,32,29,31,34,35,NORMAL
2018-11-24,Consolação,-23.5581,-46.6606,114684,3,43,61,27,24,25,28,32,NORMAL
2018-11-25,Consolação,-23.5581,-46.6606,115174,86,35,55,27,18,21,25,30,NORMAL
2018-11-26,Consolação,-23.5581,-46.6606,114422,76,30,50,22,15,15,23,25,NORMAL
2018-11-27,Consolação,-23.5581,-46.6606,113070,68,24,40,21,9,13,20,23,NORMAL
2018-11-28,Consolação,-23.5581,-46.6606,113500,60,21,36,16,6,10,16,17,NORMAL
2018-11-29,Consolação,-23.5581,-46.6606,114655,51,13,29,10,43,6,12,12,NORMAL
2018-11-30,Consolação,-23.5581,-46.6606,113940,41,5,24,5,37,43,6,7,NORMAL
2018-12-1,Consolação,-23.5581,-46.6606,114936,31,65,18,43,34,37,43,1,REABASTECER
2018-12-2,Consolação,-23.5581,-46.6606,112646,22,61,13,39,28,32,41,43,NORMAL
2018-12-3,Consolação,-23.5581,-46.6606,115040,13,57,9,37,23,30,37,39,REABASTECER
2018-12-4,Consolação,-23.5581,-46.6606,113446,4,55,65,33,17,25,35,34,NORMAL
2018-12-5,Consolação,-23.5581,-46.6606,113273,86,48,61,33,12,24,30,29,NORMAL
2018-12-6,Consolação,-23.5581,-46.6606,113875,78,38,57,32,7,20,28,25,NORMAL
2018-12-7,Consolação,-23.5581,-46.6606,113093,66,34,47,30,1,20,25,23,REABASTECER
2018-12-8,Consolação,-23.5581,-46.6606,113335,59,27,38,25,43,17,19,18,NORMAL
2018-12-9,Consolação,-23.5581,-46.6606,114513,48,24,30,22,40,11,15,14,NORMAL
2018-12-10,Consolação,-23.5581,-46.6606,113469,37,15,23,18,37,9,13,12,NORMAL
2018-12-11,Consolação,-23.5581,-46.6606,113727,24,8,17,12,32,5,9,10,REABASTECER
2018-12-12,Consolação,-23.5581,-46.6606,114299,12,65,9,12,27,43,6,4,REABASTECER
2018-12-13,Consolação,-23.5581,-46.6606,112600,86,62,65,6,24,39,43,43,NORMAL
2018-12-14,Consolação,-23.5581,-46.6606,114046,79,56,56,43,19,37,38,38,NORMAL
2018-12-15,Consolação,-23.5581,-46.6606,111875,66,53,46,42,14,32,35,36,NORMAL
2018-12-16,Consolação,-23.5581,-46.6606,113676,55,48,39,36,8,26,30,31,NORMAL
2018-12-17,Consolação,-23.5581,-46.6606,113119,44,39,33,36,3,20,24,28,REABASTECER
2018-12-18,Consolação,-23.5581,-46.6606,113336,37,34,25,32,43,17,18,26,NORMAL
2018-12-19,Consolação,-23.5581,-46.6606,113930,29,30,21,28,38,12,15,21,NORMAL
2018-12-20,Consolação,-23.5581,-46.6606,115250,19,24,11,25,32,11,10,18,NORMAL
2018-12-21,Consolação,-23.5581,-46.6606,114484,8,20,1,22,27,7,7,16,REABASTECER
2018-12-22,Consolação,-23.5581,-46.6606,113454,86,11,65,22,21,6,1,10,REABASTECER
2018-12-23,Consolação,-23.5581,-46.6606,114848,77,4,57,20,17,43,43,6,NORMAL
2018-12-24,Consolação,-23.5581,-46.6606,114911,64,65,53,15,15,39,41,43,NORMAL
2018-12-25,Consolação,-23.5581,-46.6606,112513,54,55,48,11,11,36,38,41,NORMAL
2018-12-26,Consolação,-23.5581,-46.6606,112399,45,47,41,7,6,31,36,35,REABASTECER
2018-12-27,Consolação,-23.5581,-46.6606,115310,38,37,35,6,43,30,33,32,REABASTECER
2018-12-28,Consolação,-23.5581,-46.6606,113161,27,34,30,43,40,29,29,27,NORMAL
2018-12-29,Consolação,-23.5581,-46.6606,114931,19,24,23,38,38,29,23,25,NORMAL
2018-12-30,Consolação,-23.5581,-46.6606,111771,11,18,16,37,36,29,17,20,REABASTECER
2019-1-1,Consolação,-23.5581,-46.6606,111730,86,9,11,32,30,23,14,16,REABASTECER
2019-1-2,Consolação,-23.5581,-46.6606,115503,78,65,5,27,24,22,11,12,REABASTECER
2019-1-3,Consolação,-23.5581,-46.6606,114622,68,58,65,24,21,18,8,6,REABASTECER
2019-1-4,Consolação,-23.5581,-46.6606,112719,58,54,58,22,18,13,6,43,NORMAL
2019-1-5,Consolação,-23.5581,-46.6606,112649,51,48,49,22,13,12,43,38,NORMAL
2019-1-6,Consolação,-23.5581,-46.6606,113013,43,39,39,20,9,10,37,33,NORMAL
2019-1-7,Consolação,-23.5581,-46.6606,112931,35,32,33,18,4,4,34,28,REABASTECER
2019-1-8,Consolação,-23.5581,-46.6606,115132,22,30,29,16,43,43,31,24,NORMAL
2019-1-9,Consolação,-23.5581,-46.6606,111663,15,25,25,15,37,38,25,20,NORMAL
2019-1-10,Consolação,-23.5581,-46.6606,113199,7,17,21,9,34,36,22,14,NORMAL
2019-1-11,Consolação,-23.5581,-46.6606,115007,86,11,15,4,31,30,16,12,NORMAL
2019-1-12,Consolação,-23.5581,-46.6606,111794,78,3,11,43,27,24,11,8,REABASTECER
2019-1-13,Consolação,-23.5581,-46.6606,111706,70,65,2,42,22,20,7,3,REABASTECER
2019-1-14,Consolação,-23.5581,-46.6606,112424,59,60,65,38,16,19,2,43,REABASTECER
2019-1-15,Consolação,-23.5581,-46.6606,113749,46,54,55,36,13,13,43,38,NORMAL
2019-1-16,Consolação,-23.5581,-46.6606,115468,37,45,47,35,8,10,37,35,NORMAL
2019-1-17,Consolação,-23.5581,-46.6606,112925,28,35,38,30,3,5,32,29,REABASTECER
2019-1-18,Consolação,-23.5581,-46.6606,112075,17,25,34,28,43,43,30,23,NORMAL
2019-1-19,Consolação,-23.5581,-46.6606,111874,4,23,26,27,40,42,24,17,REABASTECER
2019-1-20,Consolação,-23.5581,-46.6606,113783,86,17,21,25,34,39,22,12,NORMAL
2019-1-21,Consolação,-23.5581,-46.6606,114164,78,11,14,23,32,36,17,6,REABASTECER
2019-1-22,Consolação,-23.5581,-46.6606,112768,65,4,7,21,27,31,15,43,NORMAL
2019-1-23,Consolação,-23.5581,-46.6606,112907,55,65,65,19,24,25,9,40,NORMAL
2019-1-24,Consolação,-23.5581,-46.6606,113568,46,58,61,17,18,25,4,35,NORMAL
2019-1-25,Consolação,-23.5581,-46.6606,112159,38,53,53,12,13,20,43,33,NORMAL
2019-1-26,Consolação,-23.5581,-46.6606,112773,27,46,43,6,8,17,37,31,REABASTECER
2019-1-27,Consolação,-23.5581,-46.6606,112551,15,38,39,43,6,14,32,25,REABASTECER
2019-1-28,Consolação,-23.5581,-46.6606,112720,5,32,31,37,43,8,30,21,REABASTECER
2019-1-29,Consolação,-23.5581,-46.6606,113553,86,23,22,34,40,6,28,18,NORMAL
2019-1-30,Consolação,-23.5581,-46.6606,114857,77,19,12,31,35,43,23,15,NORMAL
2019-2-1,Consolação,-23.5581,-46.6606,112556,67,11,8,26,33,39,18,12,NORMAL
2019-2-2,Consolação,-23.5581,-46.6606,112379,60,9,65,24,31,35,12,9,NORMAL
2019-2-3,Consolação,-23.5581,-46.6606,113261,53,65,56,22,26,33,6,5,REABASTECER
2019-2-4,Consolação,-23.5581,-46.6606,113164,43,60,46,20,21,33,43,43,NORMAL
2019-2-5,Consolação,-23.5581,-46.6606,112470,32,54,36,14,16,28,39,38,NORMAL
2019-2-6,Consolação,-23.5581,-46.6606,115400,25,45,28,10,10,23,33,32,NORMAL
2019-2-7,Consolação,-23.5581,-46.6606,112812,17,38,23,6,7,17,27,28,REABASTECER
2019-2-8,Consolação,-23.5581,-46.6606,114096,9,33,18,43,5,14,22,25,REABASTECER
2019-2-9,Consolação,-23.5581,-46.6606,112168,86,23,9,42,43,13,20,21,NORMAL
2019-2-10,Consolação,-23.5581,-46.6606,113063,78,13,65,40,41,7,16,16,NORMAL
2019-2-11,Consolação,-23.5581,-46.6606,115060,67,10,59,37,36,5,13,14,NORMAL
2019-2-12,Consolação,-23.5581,-46.6606,114907,56,8,53,36,33,43,11,11,REABASTECER
2019-2-13,Consolação,-23.5581,-46.6606,114516,43,65,46,34,28,43,5,6,NORMAL
2019-2-14,Consolação,-23.5581,-46.6606,113230,36,57,40,30,26,39,43,43,NORMAL
2019-2-15,Consolação,-23.5581,-46.6606,111844,23,55,32,29,24,38,37,39,NORMAL
2019-2-16,Consolação,-23.5581,-46.6606,115210,15,46,23,29,20,34,33,37,NORMAL
2019-2-17,Consolação,-23.5581,-46.6606,111771,5,44,15,23,14,30,30,34,REABASTECER
2019-2-18,Consolação,-23.5581,-46.6606,114037,86,38,5,20,11,24,26,30,NORMAL
2019-2-19,Consolação,-23.5581,-46.6606,114176,79,31,65,20,8,22,21,27,NORMAL
2019-2-20,Consolação,-23.5581,-46.6606,112835,69,21,55,15,6,16,17,25,REABASTECER
2019-2-21,Consolação,-23.5581,-46.6606,112336,61,16,50,10,43,16,13,22,NORMAL
2019-2-22,Consolação,-23.5581,-46.6606,113874,49,9,40,4,41,13,10,18,REABASTECER
2019-2-23,Consolação,-23.5581,-46.6606,112797,39,65,31,43,37,12,5,15,REABASTECER
2019-2-24,Consolação,-23.5581,-46.6606,114362,31,61,26,38,35,8,43,13,NORMAL
2019-2-25,Consolação,-23.5581,-46.6606,113688,20,59,21,38,30,4,40,7,REABASTECER
2019-2-26,Consolação,-23.5581,-46.6606,112898,11,50,13,32,28,43,38,5,REABASTECER
2019-2-27,Consolação,-23.5581,-46.6606,113113,86,41,9,31,22,37,32,43,REABASTECER
2019-2-28,Consolação,-23.5581,-46.6606,115246,73,33,65,29,20,37,29,38,NORMAL
2019-2-29,Consolação,-23.5581,-46.6606,114516,60,26,60,27,16,31,24,36,NORMAL
2019-2-30,Consolação,-23.5581,-46.6606,111947,49,19,51,26,11,29,20,34,NORMAL
2019-3-1,Consolação,-23.5581,-46.6606,113203,39,10,46,20,7,27,14,31,NORMAL
2019-3-2,Consolação,-23.5581,-46.6606,112476,27,8,36,15,1,24,10,26,REABASTECER
2019-3-3,Consolação,-23.5581,-46.6606,113688,18,65,30,13,43,24,4,20,NORMAL
2019-3-4,Consolação,-23.5581,-46.6606,111635,7,55,23,11,40,22,43,15,NORMAL
2019-3-5,Consolação,-23.5581,-46.6606,112869,86,51,17,8,36,16,39,10,NORMAL
2019-3-6,Consolação,-23.5581,-46.6606,113921,74,43,10,3,30,16,37,4,REABASTECER
2019-3-7,Consolação,-23.5581,-46.6606,114865,65,37,2,43,28,14,32,43,REABASTECER
2019-3-8,Consolação,-23.5581,-46.6606,113740,58,28,65,41,26,14,29,41,NORMAL
2019-3-9,Consolação,-23.5581,-46.6606,112947,47,22,58,37,24,9,27,39,NORMAL
2019-3-10,Consolação,-23.5581,-46.6606,113929,38,20,51,33,22,8,23,34,NORMAL
2019-3-11,Consolação,-23.5581,-46.6606,112882,26,12,47,32,17,6,20,29,NORMAL
2019-3-12,Consolação,-23.5581,-46.6606,114611,19,8,43,32,15,43,16,23,NORMAL
2019-3-13,Consolação,-23.5581,-46.6606,115550,11,65,38,27,9,42,11,20,NORMAL
2019-3-14,Consolação,-23.5581,-46.6606,114182,86,56,31,26,7,37,8,16,NORMAL
2019-3-15,Consolação,-23.5581,-46.6606,113712,75,51,27,22,2,31,6,12,REABASTECER
2019-3-16,Consolação,-23.5581,-46.6606,112732,67,47,18,18,43,30,43,10,NORMAL
2019-3-17,Consolação,-23.5581,-46.6606,115533,55,41,14,18,38,27,39,8,NORMAL
2019-3-18,Consolação,-23.5581,-46.6606,111679,48,39,10,13,34,24,35,3,REABASTECER
2019-3-19,Consolação,-23.5581,-46.6606,114800,36,29,1,12,32,18,30,43,NORMAL
2019-3-20,Consolação,-23.5581,-46.6606,113402,27,21,65,8,30,13,24,40,NORMAL
2019-3-21,Consolação,-23.5581,-46.6606,114894,14,16,55,4,28,8,18,34,REABASTECER
2019-3-22,Consolação,-23.5581,-46.6606,111653,1,13,48,43,26,5,12,29,REABASTECER
2019-3-23,Consolação,-23.5581,-46.6606,113605,86,6,39,38,20,43,6,24,REABASTECER
2019-3-24,Consolação,-23.5581,-46.6606,115534,74,65,35,38,16,43,43,22,NORMAL
2019-3-25,Consolação,-23.5581,-46.6606,112151,65,57,30,33,10,43,41,19,NORMAL
2019-3-26,Consolação,-23.5581,-46.6606,112507,57,49,20,32,6,40,39,13,REABASTECER
2019-3-27,Consolação,-23.5581,-46.6606,114178,46,44,15,26,43,38,35,7,NORMAL
2019-3-28,Consolação,-23.5581,-46.6606,113154,33,39,8,22,41,34,32,5,NORMAL
2019-3-29,Consolação,-23.5581,-46.6606,111987,23,36,65,16,38,34,30,43,NORMAL
2019-3-30,Consolação,-23.5581,-46.6606,113970,15,28,56,16,35,28,25,39,NORMAL
2019-4-1,Consolação,-23.5581,-46.6606,113819,4,23,50,12,30,27,22,33,REABASTECER
2019-4-2,Consolação,-23.5581,-46.6606,112704,86,18,41,10,25,24,20,27,NORMAL
2019-4-3,Consolação,-23.5581,-46.6606,112848,78,16,32,6,22,18,16,25,NORMAL
2019-4-4,Consolação,-23.5581,-46.6606,115467,65,14,24,43,20,12,10,22,NORMAL
2019-4-5,Consolação,-23.5581,-46.6606,112714,58,7,18,42,14,7,5,16,NORMAL
2019-4-6,Consolação,-23.5581,-46.6606,114346,49,65,8,37,9,7,43,11,REABASTECER
2019-4-7,Consolação,-23.5581,-46.6606,113554,41,57,65,33,3,5,37,5,REABASTECER
2019-4-8,Consolação,-23.5581,-46.6606,114650,30,47,61,33,43,43,31,43,NORMAL
2019-4-9,Consolação,-23.5581,-46.6606,112198,19,37,51,30,38,41,25,40,NORMAL
2019-4-10,Consolação,-23.5581,-46.6606,114125,8,27,45,28,32,37,20,36,REABASTECER
2019-4-11,Consolação,-23.5581,-46.6606,112364,86,24,40,25,29,31,18,34,NORMAL
2019-4-12,Consolação,-23.5581,-46.6606,113121,76,14,36,20,27,29,13,32,NORMAL
2019-4-13,Consolação,-23.5581,-46.6606,115253,65,10,28,18,25,28,8,29,NORMAL
2019-4-14,Consolação,-23.5581,-46.6606,111996,56,7,18,13,21,22,4,27,REABASTECER
2019-4-15,Consolação,-23.5581,-46.6606,112889,49,65,13,11,17,17,43,22,NORMAL
2019-4-16,Consolação,-23.5581,-46.6606,114254,42,63,8,9,11,14,37,19,REABASTECER
2019-4-17,Consolação,-23.5581,-46.6606,114113,31,55,65,8,8,11,33,17,NORMAL
2019-4-18,Consolação,-23.5581,-46.6606,112363,20,45,59,6,5,9,29,13,REABASTECER
2019-4-19,Consolação,-23.5581,-46.6606,114795,12,41,49,43,43,4,27,8,REABASTECER
2019-4-20,Consolação,-23.5581,-46.6606,113657,86,37,43,42,39,43,24,6,REABASTECER
2019-4-21,Consolação,-23.5581,-46.6606,112826,77,27,35,37,37,42,20,43,NORMAL
2019-4-22,Consolação,-23.5581,-46.6606,113465,65,24,25,32,35,37,17,40,NORMAL
2019-4-23,Consolação,-23.5581,-46.6606,114484,55,15,16,27,30,35,14,35,NORMAL
2019-4-24,Consolação,-23.5581,-46.6606,111855,48,12,11,26,25,30,8,29,NORMAL
2019-4-25,Consolação,-23.5581,-46.6606,114243,38,5,4,24,19,29,3,23,REABASTECER
2019-4-26,Consolação,-23.5581,-46.6606,114819,30,65,65,19,14,28,43,21,NORMAL
2019-4-27,Consolação,-23.5581,-46.6606,114526,18,57,55,19,9,22,41,16,NORMAL
2019-4-28,Consolação,-23.5581,-46.6606,113350,10,54,51,19,7,21,36,10,REABASTECER
2019-4-29,Consolação,-23.5581,-46.6606,115250,86,47,41,17,3,19,34,5,NORMAL
2019-4-30,Consolação,-23.5581,-46.6606,112696,73,41,31,12,43,17,32,43,NORMAL
2019-5-1,Consolação,-23.5581,-46.6606,112948,63,31,21,6,41,13,26,39,REABASTECER
2019-5-2,Consolação,-23.5581,-46.6606,112349,56,28,12,43,37,13,22,37,NORMAL
2019-5-3,Consolação,-23.5581,-46.6606,112216,44,25,4,42,33,7,17,34,REABASTECER
2019-5-4,Consolação,-23.5581,-46.6606,114201,32,23,65,38,29,5,12,31,REABASTECER
2019-5-5,Consolação,-23.5581,-46.6606,112271,22,21,55,33,25,43,9,27,NORMAL
2019-5-6,Consolação,-23.5581,-46.6606,114674,9,17,50,33,21,42,5,21,REABASTECER
2019-5-7,Consolação,-23.5581,-46.6606,113827,86,10,45,27,16,39,43,15,NORMAL
2019-5-8,Consolação,-23.5581,-46.6606,113784,77,3,35,27,10,36,41,11,REABASTECER
2019-5-9,Consolação,-23.5581,-46.6606,112103,67,65,25,25,4,30,35,7,NORMAL
2019-5-10,Consolação,-23.5581,-46.6606,113296,54,63,17,24,43,25,32,5,REABASTECER
2019-5-11,Consolação,-23.5581,-46.6606,112909,45,53,7,18,41,24,26,43,REABASTECER
2019-5-12,Consolação,-23.5581,-46.6606,114438,32,49,65,13,38,20,20,39,NORMAL
2019-5-13,Consolação,-23.5581,-46.6606,115425,24,44,55,7,36,19,17,37,NORMAL
2019-5-14,Consolação,-23.5581,-46.6606,111996,17,37,46,3,30,13,12,33,REABASTECER
2019-5-15,Consolação,-23.5581,-46.6606,114401,9,27,39,43,25,13,10,28,NORMAL
2019-5-16,Consolação,-23.5581,-46.6606,113964,86,17,33,43,23,10,6,25,NORMAL
2019-5-17,Consolação,-23.5581,-46.6606,112418,78,14,23,43,17,7,43,19,NORMAL
2019-5-18,Consolação,-23.5581,-46.6606,113215,71,6,13,39,12,4,38,17,REABASTECER
2019-5-19,Consolação,-23.5581,-46.6606,112119,60,65,9,38,6,43,35,15,REABASTECER
2019-5-20,Consolação,-23.5581,-46.6606,114953,47,59,65,35,43,42,30,13,NORMAL
2019-5-21,Consolação,-23.5581,-46.6606,115272,37,51,60,35,37,37,24,11,NORMAL
2019-5-22,Consolação,-23.5581,-46.6606,114187,26,48,51,35,34,31,18,8,NORMAL
2019-5-23,Consolação,-23.5581,-46.6606,114535,18,41,44,34,28,30,12,4,REABASTECER
2019-5-24,Consolação,-23.5581,-46.6606,114939,5,31,39,31,23,28,6,43,REABASTECER
2019-5-25,Consolação,-23.5581,-46.6606,114074,86,24,32,30,17,27,43,40,NORMAL
2019-5-26,Consolação,-23.5581,-46.6606,111916,75,16,22,28,14,25,38,34,NORMAL
2019-5-27,Consolação,-23.5581,-46.6606,113458,67,9,17,26,9,22,33,28,REABASTECER
2019-5-28,Consolação,-23.5581,-46.6606,113644,55,65,13,23,7,19,31,24,NORMAL
2019-5-29,Consolação,-23.5581,-46.6606,112731,42,58,3,20,3,17,29,18,REABASTECER
2019-5-30,Consolação,-23.5581,-46.6606,112721,30,55,65,19,43,11,27,16,NORMAL
2019-6-1,Consolação,-23.5581,-46.6606,113275,17,53,60,16,40,10,24,10,NORMAL
2019-6-2,Consolação,-23.5581,-46.6606,111980,4,48,52,16,36,8,19,4,REABASTECER
2019-6-3,Consolação,-23.5581,-46.6606,113955,86,39,45,13,31,4,13,43,REABASTECER
2019-6-4,Consolação,-23.5581,-46.6606,115177,78,36,40,12,27,43,9,41,NORMAL
2019-6-5,Consolação,-23.5581,-46.6606,112375,65,28,35,9,25,39,5,37,REABASTECER
2019-6-6,Consolação,-23.5581,-46.6606,111578,54,22,26,4,23,33,43,31,NORMAL
2019-6-7,Consolação,-23.5581,-46.6606,114039,46,18,19,43,17,27,37,28,NORMAL
2019-6-8,Consolação,-23.5581,-46.6606,115050,38,12,13,39,11,21,34,22,NORMAL
2019-6-9,Consolação,-23.5581,-46.6606,113909,25,2,4,33,5,19,30,20,NORMAL
2019-6-10,Consolação,-23.5581,-46.6606,113896,17,65,65,28,43,14,27,17,NORMAL
2019-6-11,Consolação,-23.5581,-46.6606,114540,7,57,58,24,39,10,25,12,REABASTECER
2019-6-12,Consolação,-23.5581,-46.6606,115025,86,49,52,20,34,6,21,6,NORMAL
2019-6-13,Consolação,-23.5581,-46.6606,113663,74,43,42,17,32,43,17,43,NORMAL
2019-6-14,Consolação,-23.5581,-46.6606,115189,61,40,34,12,30,39,15,39,NORMAL
2019-6-15,Consolação,-23.5581,-46.6606,113434,49,32,27,10,26,37,10,35,NORMAL
2019-6-16,Consolação,-23.5581,-46.6606,113621,41,27,22,7,22,34,8,33,NORMAL
2019-6-17,Consolação,-23.5581,-46.6606,114391,28,25,17,6,16,31,5,31,REABASTECER
2019-6-18,Consolação,-23.5581,-46.6606,114112,20,22,7,43,10,26,43,26,NORMAL
2019-6-19,Consolação,-23.5581,-46.6606,113934,12,18,65,37,8,25,41,22,NORMAL
2019-6-20,Consolação,-23.5581,-46.6606,114141,86,11,58,34,4,22,35,19,REABASTECER
2019-6-21,Consolação,-23.5581,-46.6606,112838,75,4,54,31,43,16,31,17,NORMAL
2019-6-22,Consolação,-23.5581,-46.6606,112887,65,65,46,30,38,13,26,13,NORMAL
2019-6-23,Consolação,-23.5581,-46.6606,111720,55,55,42,25,34,10,21,11,NORMAL
2019-6-24,Consolação,-23.5581,-46.6606,111672,43,48,36,22,30,7,16,5,NORMAL
2019-6-25,Consolação,-23.5581,-46.6606,114214,31,45,27,17,26,2,12,43,NORMAL
2019-6-26,Consolação,-23.5581,-46.6606,112069,21,36,20,16,23,43,10,41,NORMAL
2019-6-27,Consolação,-23.5581,-46.6606,115096,14,29,11,10,18,37,5,39,REABASTECER
2019-6-28,Consolação,-23.5581,-46.6606,114713,7,26,1,10,12,35,43,34,REABASTECER
2019-6-29,Consolação,-23.5581,-46.6606,114040,86,16,65,7,7,33,37,29,NORMAL
2019-6-30,Consolação,-23.5581,-46.6606,111961,73,14,58,6,3,31,31,26,NORMAL
2019-7-1,Consolação,-23.5581,-46.6606,112046,61,12,50,43,43,28,28,21,NORMAL
2019-7-2,Consolação,-23.5581,-46.6606,112976,48,10,44,39,40,25,22,17,NORMAL
2019-7-3,Consolação,-23.5581,-46.6606,114352,38,5,36,34,37,20,17,12,REABASTECER
2019-7-4,Consolação,-23.5581,-46.6606,113379,27,65,27,30,34,15,13,7,NORMAL
2019-7-5,Consolação,-23.5581,-46.6606,112878,14,62,23,29,31,15,9,4,REABASTECER
2019-7-6,Consolação,-23.5581,-46.6606,111761,3,57,18,25,27,10,6,43,REABASTECER
2019-7-7,Consolação,-23.5581,-46.6606,111582,86,50,10,19,24,9,43,40,NORMAL
2019-7-8,Consolação,-23.5581,-46.6606,113708,73,43,1,17,21,3,37,35,NORMAL
2019-7-9,Consolação,-23.5581,-46.6606,114405,62,41,65,15,17,43,32,31,NORMAL
2019-7-10,Consolação,-23.5581,-46.6606,113646,52,33,57,15,11,37,28,25,NORMAL
2019-7-11,Consolação,-23.5581,-46.6606,115557,43,31,52,10,6,34,22,23,REABASTECER
2019-7-12,Consolação,-23.5581,-46.6606,113214,36,29,42,4,43,33,17,19,NORMAL
2019-7-13,Consolação,-23.5581,-46.6606,115394,27,27,36,43,39,31,15,17,NORMAL
2019-7-14,Consolação,-23.5581,-46.6606,114923,16,25,32,43,34,27,9,11,NORMAL
2019-7-15,Consolação,-23.5581,-46.6606,111715,4,15,26,43,28,26,3,5,REABASTECER
2019-7-16,Consolação,-23.5581,-46.6606,113518,86,6,22,38,23,26,43,43,REABASTECER
2019-7-17,Consolação,-23.5581,-46.6606,114673,73,65,14,33,21,23,40,40,NORMAL
2019-7-18,Consolação,-23.5581,-46.6606,114248,62,58,4,27,15,17,36,38,REABASTECER
2019-7-19,Consolação,-23.5581,-46.6606,111987,54,56,65,22,10,16,33,32,NORMAL
